06-06-22, 50.0
PPCI&N;Abrev. Net. Name;Net. Type;MCC;MNC;Country Initials;Organisation;Network;SIM;Last Update
OnAir;OnAir;GSM 1800;901;15;AAA;SITA Switzerland Sarl;ONAIR;8988298;2016-03-02
AeroMobile;AeroMob;GSM 1800;901;14;AAA;AeroMobile AS;AeroMobile;8988299;2016-03-02
Telenor Maritime;TelenorM;3G 1800;901;12;AAM;Telenor Maritime AS;Telenor Maritime;8988232;2016-03-16
Telenor Maritime;TelenorM;3G 2100;901;12;AAM;Telenor Maritime AS;Telenor Maritime;8988232;2016-03-16
Telenor Maritime;TelenorM;GSM 1800;901;12;AAM;Telenor Maritime AS;Telenor Maritime;8988232;2016-03-16
Telenor Maritime;TelenorM;GSM 1900;901;12;AAM;Telenor Maritime AS;Telenor Maritime;8988232;2016-03-16
Telenor Maritime;TelenorM;GSM 900;901;12;AAM;Telenor Maritime AS;Telenor Maritime;8988232;2016-03-16
Telenor Maritime;TelenorM;LTE 1800;901;12;AAM;Telenor Maritime AS;Telenor Maritime;8988232;2016-03-16
Telenor Maritime;TelenorM;LTE 1900;901;12;AAM;Telenor Maritime AS;Telenor Maritime;8988232;2016-03-16
Telenor Maritime;TelenorM;LTE 800;901;12;AAM;Telenor Maritime AS;Telenor Maritime;8988232;2016-03-16
Telecom26;T26;GSM 1800;901;46;AAM;Telecom26 AG;Telecom26;8988306;2020-04-28
Telecom26;T26;GSM 900;901;46;AAM;Telecom26 AG;Telecom26;8988306;2020-04-28
Tampnet;Tampnet;GSM 1800;901;71;AAM;Tampnet AS;Tampnet;890157;2022-06-07
Tampnet;Tampnet;GSM 850;901;71;AAM;Tampnet AS;Tampnet;890157;2022-06-07
Tampnet;Tampnet;LTE 1800;901;71;AAM;Tampnet AS;Tampnet;890157;2022-06-07
Tampnet;Tampnet;LTE 2100;901;71;AAM;Tampnet AS;Tampnet;890157;2022-06-07
Tampnet;Tampnet;LTE 2600;901;71;AAM;Tampnet AS;Tampnet;890157;2022-06-07
Tampnet;Tampnet;LTE 700;901;71;AAM;Tampnet AS;Tampnet;890157;2022-06-07
Tampnet;Tampnet;LTE 800;901;71;AAM;Tampnet AS;Tampnet;890157;2022-06-07
Tampnet;Tampnet;LTE 850;901;71;AAM;Tampnet AS;Tampnet;890157;2022-06-07
Tampnet;Tampnet;LTE 900;901;71;AAM;Tampnet AS;Tampnet;890157;2022-06-07
Tampnet;Tampnet;GSM 850;311;170;AAM;Tampnet AS;Tampnet;891170;2019-03-19
Tampnet;Tampnet;LTE 2100;311;170;AAM;Tampnet AS;Tampnet;891170;2021-02-08
Tampnet;Tampnet;LTE 2600;311;170;AAM;Tampnet AS;Tampnet;891170;2021-02-08
Tampnet;Tampnet;LTE 850;311;170;AAM;Tampnet AS;Tampnet;891170;2019-12-09
